,S1,S1_conf,ST,ST_conf
98,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
99,1.5142574260899222e-14,2.4374203216392077e-13,1.1220667996385684e-27,4.916968616410763e-27
100,-3.455430084508776e-14,1.3315336688635384e-13,6.171367398012126e-27,1.8576458567856765e-26
101,-5.948434090745977e-15,8.162740559592832e-14,1.1220667996385684e-27,6.229744122617433e-27
102,-5.948434090745977e-15,8.162740559592832e-14,1.1220667996385684e-27,6.229744122617433e-27
103,-5.948434090745977e-15,8.162740559592832e-14,1.1220667996385684e-27,6.229744122617433e-27
104,-5.948434090745977e-15,8.162740559592832e-14,1.1220667996385684e-27,6.229744122617433e-27
105,-1.2328308345124197e-14,5.312460110581826e-14,5.610333998192842e-28,2.4175803150014625e-27
106,-5.948434090745977e-15,8.162740559592832e-14,1.1220667996385684e-27,6.229744122617433e-27
107,4.899333112130087e-14,4.694839780433363e-13,3.366200398915705e-27,1.8937725450098316e-26
108,4.899333112130087e-14,4.694839780433363e-13,3.366200398915705e-27,1.8937725450098316e-26
109,4.899333112130087e-14,4.694839780433363e-13,3.366200398915705e-27,1.8937725450098316e-26
110,4.899333112130087e-14,4.694839780433363e-13,3.366200398915705e-27,1.8937725450098316e-26
111,4.899333112130087e-14,4.694839780433363e-13,3.366200398915705e-27,1.8937725450098316e-26
112,0.01078160319937725,0.1824895058291072,0.004897169648853361,0.031187930747653168
113,-3.9799190951147616e-14,2.2711593636929976e-13,1.1220667996385684e-27,4.916968616410763e-27
114,-2.5085316358066897e-14,1.4087925288536622e-13,2.804203127702285e-27,2.279231441015013e-26
115,-4.4155894194294755e-14,1.4490772753826408e-13,5.048336726979422e-27,2.302785855632155e-26
116,-5.648420253941895e-14,1.6920558305264735e-13,6.731436926437275e-27,2.4677191062319317e-26
117,-4.4155894194294755e-14,1.4490772753826408e-13,5.048336726979422e-27,2.302785855632155e-26
