#query	mnx_id	reference	xrefs	name
CDPGLYCGPT				
CTPS2	MNXR190850	rheaR:26426	bigg.reaction:CTPS2 ... bigg.reaction:CTPS2n ... bigg.reaction:R_CTPS2 ... bigg.reaction:R_CTPS2n ... biggR:CTPS2 ... biggR:CTPS2n ... biggR:R_CTPS2 ... biggR:R_CTPS2n ... deprecated:MNXR190851 ... deprecated:MNXR96945 ... kegg.reaction:R00573 ... keggR:R00573 ... metacyc.reaction:CTPSYN-RXN ... metacycR:CTPSYN-RXN ... rhea:26426 ... rhea:26427 ... rhea:26428 ... rhea:26429 ... rheaR:26426 ... rheaR:26427 ... rheaR:26428 ... rheaR:26429 ... sabiork.reaction:459 ... sabiorkR:459 ... seed.reaction:rxn00412 ... seed.reaction:rxn11276 ... seed.reaction:rxn27771 ... seed.reaction:rxn33242 ... seedR:rxn00412 ... seedR:rxn11276 ... seedR:rxn27771 ... seedR:rxn33242	1 MNXM1101474@MNXD1 + 1 MNXM37@MNXD1 + 1 MNXM3@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1103718@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM741173@MNXD1 + 1 MNXM9@MNXD1
CYRDAAT	MNXR96982	biggR:CYRDAAT	bigg.reaction:CYRDAAT ... bigg.reaction:R_CYRDAAT ... biggR:CYRDAAT ... biggR:R_CYRDAAT	1 MNXM332@MNXD1 + 1 MNXM735499@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM741370@MNXD1
CYRDAR	MNXR96983	biggR:CYRDAR	bigg.reaction:CYRDAR ... bigg.reaction:R_CYRDAR ... biggR:CYRDAR ... biggR:R_CYRDAR ... deprecated:MNXR30957	1 MNXM10@MNXD1 + 2 MNXM741313@MNXD1 = 2 MNXM741370@MNXD1 + 1 MNXM8@MNXD1
CYRDAS	MNXR96985	biggR:CYRDAS	bigg.reaction:CYRDAS ... bigg.reaction:R_CYRDAS ... biggR:CYRDAS ... biggR:R_CYRDAS ... deprecated:MNXR50840	1 MNXM11@MNXD1 + 2 MNXM40333@MNXD1 + 2 MNXM741173@MNXD1 + 1 MNXM741313@MNXD1 = 2 MNXM37@MNXD1 + 2 MNXM3@MNXD1 + 1 MNXM741357@MNXD1 + 1 WATER@MNXD1
CYSS	MNXR97007	rheaR:14829	bigg.reaction:CYSS ... bigg.reaction:CYSS_1 ... bigg.reaction:CYSS_2 ... bigg.reaction:CYSS_m ... bigg.reaction:R_CYSS ... bigg.reaction:R_CYSS_1 ... bigg.reaction:R_CYSS_2 ... bigg.reaction:R_CYSS_m ... biggR:CYSS ... biggR:CYSS_1 ... biggR:CYSS_2 ... biggR:CYSS_m ... biggR:R_CYSS ... biggR:R_CYSS_1 ... biggR:R_CYSS_2 ... biggR:R_CYSS_m ... deprecated:MNXR30965 ... kegg.reaction:R00897 ... keggR:R00897 ... metacyc.reaction:ACSERLY-RXN ... metacycR:ACSERLY-RXN ... rhea:14829 ... rhea:14830 ... rhea:14831 ... rhea:14832 ... rheaR:14829 ... rheaR:14830 ... rheaR:14831 ... rheaR:14832 ... sabiork.reaction:1220 ... sabiorkR:1220 ... seed.reaction:rxn00649 ... seed.reaction:rxn19041 ... seed.reaction:rxn19042 ... seed.reaction:rxn32343 ... seedR:rxn00649 ... seedR:rxn19041 ... seedR:rxn19042 ... seedR:rxn32343	1 MNXM124865@MNXD1 + 1 MNXM418@MNXD1 = 1 MNXM26@MNXD1 + 1 MNXM738068@MNXD1
CYSS3r				
CYSTL	MNXR96469	rheaR:13965	bigg.reaction:CBL ... bigg.reaction:CBL_m ... bigg.reaction:CYSTL ... bigg.reaction:CYSTLp ... bigg.reaction:R_CBL ... bigg.reaction:R_CBL_m ... bigg.reaction:R_CYSTL ... bigg.reaction:R_CYSTLp ... biggR:CBL ... biggR:CBL_m ... biggR:CYSTL ... biggR:CYSTLp ... biggR:R_CBL ... biggR:R_CBL_m ... biggR:R_CYSTL ... biggR:R_CYSTLp ... deprecated:MNXR1361 ... deprecated:MNXR138161 ... deprecated:MNXR68614 ... deprecated:MNXR81870 ... kegg.reaction:R01286 ... keggR:R01286 ... metacyc.reaction:CYSTATHIONINE-BETA-LYASE-RXN ... metacycR:CYSTATHIONINE-BETA-LYASE-RXN ... rhea:13965 ... rhea:13966 ... rhea:13967 ... rhea:13968 ... rheaR:13965 ... rheaR:13966 ... rheaR:13967 ... rheaR:13968 ... sabiork.reaction:1501 ... sabiorkR:1501 ... seed.reaction:rxn15166 ... seed.reaction:rxn19347 ... seed.reaction:rxn30001 ... seed.reaction:rxn30363 ... seed.reaction:rxn30634 ... seed.reaction:rxn35282 ... seedR:rxn15166 ... seedR:rxn19347 ... seedR:rxn30001 ... seedR:rxn30363 ... seedR:rxn30634 ... seedR:rxn35282	1 MNXM123@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM729302@MNXD1 = 1 MNXM319@MNXD1 + 1 WATER@MNXD1
CYSt2r	MNXR151242	seedR:rxn09690	bigg.reaction:CYSt2r ... bigg.reaction:CYSt_h ... bigg.reaction:CYSt_m ... bigg.reaction:R_CYSt2r ... bigg.reaction:R_CYSt_h ... bigg.reaction:R_CYSt_m ... biggR:CYSt2r ... biggR:CYSt_h ... biggR:CYSt_m ... biggR:R_CYSt2r ... biggR:R_CYSt_h ... biggR:R_CYSt_m ... deprecated:MNXR118825 ... deprecated:MNXR97027 ... metacyc.reaction:RXN-14647 ... metacycR:RXN-14647 ... seed.reaction:rxn09690 ... seed.reaction:rxn47074 ... seedR:rxn09690 ... seedR:rxn47074	1 MNXM01@MNXD1 + 1 MNXM738068@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM738068@MNXD2
CYTD	MNXR190856	rheaR:16069	bigg.reaction:CYTD ... bigg.reaction:CYTDn ... bigg.reaction:R_CYTD ... bigg.reaction:R_CYTDn ... biggR:CYTD ... biggR:CYTDn ... biggR:R_CYTD ... biggR:R_CYTDn ... deprecated:MNXR190857 ... deprecated:MNXR97039 ... kegg.reaction:R01878 ... keggR:R01878 ... metacyc.reaction:CYTIDEAM2-RXN ... metacycR:CYTIDEAM2-RXN ... rhea:16069 ... rhea:16070 ... rhea:16071 ... rhea:16072 ... rheaR:16069 ... rheaR:16070 ... rheaR:16071 ... rheaR:16072 ... sabiork.reaction:89 ... sabiorkR:89 ... seed.reaction:rxn01368 ... seed.reaction:rxn30003 ... seed.reaction:rxn33463 ... seedR:rxn01368 ... seedR:rxn30003 ... seedR:rxn33463	1 MNXM1103104@MNXD1 + 1 MNXM729302@MNXD1 = 1 MNXM1104207@MNXD1 + 1 MNXM1@MNXD1 + 1 WATER@MNXD1
CYTDK1	MNXR190860	rheaR:24674	bigg.reaction:CYTDK1 ... bigg.reaction:CYTDK1_1 ... bigg.reaction:CYTDK2m ... bigg.reaction:R_CYTDK1 ... bigg.reaction:R_CYTDK1_1 ... bigg.reaction:R_CYTDK2m ... biggR:CYTDK1 ... biggR:CYTDK1_1 ... biggR:CYTDK2m ... biggR:R_CYTDK1 ... biggR:R_CYTDK1_1 ... biggR:R_CYTDK2m ... deprecated:MNXR190861 ... deprecated:MNXR97041 ... kegg.reaction:R00513 ... keggR:R00513 ... metacyc.reaction:CYTIKIN-RXN ... metacycR:CYTIKIN-RXN ... rhea:24674 ... rhea:24675 ... rhea:24676 ... rhea:24677 ... rheaR:24674 ... rheaR:24675 ... rheaR:24676 ... rheaR:24677 ... sabiork.reaction:212 ... sabiorkR:212 ... seed.reaction:rxn00365 ... seedR:rxn00365	1 MNXM1103302@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM1104207@MNXD1 + 1 MNXM3@MNXD1
