#query	mnx_id	reference	xrefs	name
TAURabc	MNXR104732	seedR:rxn05172	bigg.reaction:R_TAURabc ... bigg.reaction:R_TAURabcpp ... bigg.reaction:TAURabc ... bigg.reaction:TAURabcpp ... biggR:R_TAURabc ... biggR:R_TAURabcpp ... biggR:TAURabc ... biggR:TAURabcpp ... metacyc.reaction:ABC-64-RXN ... metacycR:ABC-64-RXN ... seed.reaction:rxn05172 ... seed.reaction:rxn09285 ... seedR:rxn05172 ... seedR:rxn09285	1 MNXM1@MNXD1 + 1 MNXM282@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM282@MNXD2 + 1 MNXM3@MNXD1 + 1 WATER@MNXD1
TDCOATA				
TDG3PACT				
TDPDRE	MNXR146516	rheaR:16969	bigg.reaction:R_TDPDRE ... bigg.reaction:TDPDRE ... biggR:R_TDPDRE ... biggR:TDPDRE ... deprecated:MNXR104759 ... deprecated:MNXR146517 ... deprecated:MNXR146518 ... kegg.reaction:R06514 ... keggR:R06514 ... metacyc.reaction:DTDPDEHYDRHAMEPIM-RXN ... metacycR:DTDPDEHYDRHAMEPIM-RXN ... rhea:16969 ... rhea:16970 ... rhea:16971 ... rhea:16972 ... rheaR:16969 ... rheaR:16970 ... rheaR:16971 ... rheaR:16972 ... sabiork.reaction:2651 ... sabiorkR:2651 ... seed.reaction:rxn02000 ... seed.reaction:rxn19641 ... seedR:rxn02000 ... seedR:rxn19641	1 MNXM1104310@MNXD1 = 1 MNXM1104509@MNXD1
TDPDRRr				
TDPGDH	MNXR133780	rheaR:17221	bigg.reaction:R_TDPGDH ... bigg.reaction:TDPGDH ... biggR:R_TDPGDH ... biggR:TDPGDH ... deprecated:MNXR146523 ... deprecated:MNXR146524 ... kegg.reaction:R06513 ... keggR:R06513 ... metacyc.reaction:DTDPGLUCDEHYDRAT-RXN ... metacycR:DTDPGLUCDEHYDRAT-RXN ... rhea:17221 ... rhea:17222 ... rhea:17223 ... rhea:17224 ... rheaR:17221 ... rheaR:17222 ... rheaR:17223 ... rheaR:17224 ... sabiork.reaction:2648 ... sabiork.reaction:8948 ... sabiorkR:2648 ... sabiorkR:8948 ... seed.reaction:rxn01997 ... seed.reaction:rxn30661 ... seed.reaction:rxn32607 ... seed.reaction:rxn33180 ... seed.reaction:rxn33182 ... seedR:rxn01997 ... seedR:rxn30661 ... seedR:rxn32607 ... seedR:rxn33180 ... seedR:rxn33182	1 MNXM1104509@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1105949@MNXD1
TECA1S180				
TECA1SAI17				
TECA1SI17				
TECA2S180				
TECA2SAI17				
TECA2SI17				
TECA3S140				
TECA3S160				
TECA3S180				
TECA3SAI15				
TECA3SAI17				
TECA3SI14				
TECA3SI15				
TECA3SI16				
TECA3SI17				
TECA4S	MNXR152241	seedR:rxn05263	bigg.reaction:R_TECA4S ... bigg.reaction:TECA4S ... biggR:R_TECA4S ... biggR:TECA4S ... deprecated:MNXR143408 ... deprecated:MNXR152242 ... seed.reaction:rxn05263 ... seedR:rxn05263	30 MNXM1100890@MNXD1 + 30 MNXM1104702@MNXD1 + 30 WATER@MNXD1 = 30 MNXM1102128@MNXD1 + 30 MNXM1104823@MNXD1 + 1 MNXM5305@MNXD1
TECA5S180				
TECA5SAI17				
TECA5SI17				
TECAAE				
TECAGE				
TECAUE				
TEICH45	MNXR138857	biggR:TEICH45	bigg.reaction:R_TEICH45 ... bigg.reaction:TEICH45 ... biggR:R_TEICH45 ... biggR:TEICH45 ... deprecated:MNXR104778	45 MNXM1100890@MNXD1 + 45 MNXM1104890@MNXD1 = 45 MNXM1102128@MNXD1 + 45 MNXM1104823@MNXD1 + 1 MNXM169210@MNXD1
TGBPA	MNXR146531	biggR:TGBPA	bigg.reaction:R_TGBPA ... bigg.reaction:TGBPA ... biggR:R_TGBPA ... biggR:TGBPA ... deprecated:MNXR104798	1 MNXM1103932@MNXD1 + 2 MNXM1@MNXD1 = 1 MNXM739945@MNXD1 + 1 MNXM77@MNXD1
THIORDXi	MNXR146538	biggR:THIORDXi	bigg.reaction:R_THIORDXi ... bigg.reaction:R_THIORDXm ... bigg.reaction:R_THIORDXni ... bigg.reaction:R_THIORDXp ... bigg.reaction:THIORDXi ... bigg.reaction:THIORDXm ... bigg.reaction:THIORDXni ... bigg.reaction:THIORDXp ... biggR:R_THIORDXi ... biggR:R_THIORDXm ... biggR:R_THIORDXni ... biggR:R_THIORDXp ... biggR:THIORDXi ... biggR:THIORDXm ... biggR:THIORDXni ... biggR:THIORDXp ... deprecated:MNXR104815	1 MNXM729076@MNXD1 + 2 WATER@MNXD1 = 1 MNXM732620@MNXD1 + 1 MNXM741334@MNXD1
THMt3	MNXR138864	biggR:THMt3	bigg.reaction:R_THMt3 ... bigg.reaction:THMt3 ... biggR:R_THMt3 ... biggR:THMt3 ... deprecated:MNXR104829	1 MNXM01@MNXD1 + 1 MNXM730135@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM730135@MNXD1
THRAr				
THRD	MNXR103402	rheaR:13161	bigg.reaction:R01465m ... bigg.reaction:R_R01465m ... bigg.reaction:R_THRD ... bigg.reaction:THRD ... biggR:R01465m ... biggR:R_R01465m ... biggR:R_THRD ... biggR:THRD ... deprecated:MNXR133212 ... deprecated:MNXR5057 ... deprecated:MNXR69968 ... kegg.reaction:R01465 ... keggR:R01465 ... metacyc.reaction:THREODEHYD-RXN ... metacycR:THREODEHYD-RXN ... rhea:13161 ... rhea:13162 ... rhea:13163 ... rhea:13164 ... rheaR:13161 ... rheaR:13162 ... rheaR:13163 ... rheaR:13164 ... sabiork.reaction:1641 ... sabiork.reaction:7126 ... sabiorkR:1641 ... sabiorkR:7126 ... seed.reaction:rxn01068 ... seed.reaction:rxn11130 ... seed.reaction:rxn33041 ... seed.reaction:rxn33043 ... seedR:rxn01068 ... seedR:rxn11130 ... seedR:rxn33041 ... seedR:rxn33043	1 MNXM10@MNXD1 + 1 MNXM114087@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM8@MNXD1
