#query	mnx_id	reference	xrefs	name
MAN6PI	MNXR191977	rheaR:12356	bigg.reaction:MAN6PI ... bigg.reaction:R_MAN6PI ... biggR:MAN6PI ... biggR:R_MAN6PI ... deprecated:MNXR145519 ... deprecated:MNXR145521 ... deprecated:MNXR145970 ... deprecated:MNXR151553 ... deprecated:MNXR189100 ... deprecated:MNXR189101 ... kegg.reaction:R00772 ... kegg.reaction:R01819 ... keggR:R00772 ... keggR:R01819 ... metacyc.reaction:MANNPISOM-RXN ... metacycR:MANNPISOM-RXN ... rhea:12356 ... rhea:12357 ... rhea:12358 ... rhea:12359 ... rheaR:12356 ... rheaR:12357 ... rheaR:12358 ... rheaR:12359 ... seed.reaction:rxn00559 ... seed.reaction:rxn15270 ... seed.reaction:rxn32674 ... seed.reaction:rxn32684 ... seed.reaction:rxn33558 ... seed.reaction:rxn33575 ... seedR:rxn00559 ... seedR:rxn15270 ... seedR:rxn32674 ... seedR:rxn32684 ... seedR:rxn33558 ... seedR:rxn33575	1 MNXM1105857@MNXD1 = 1 MNXM1107898@MNXD1
MANpts	MNXR145538	seedR:rxn05610	bigg.reaction:MANpts ... bigg.reaction:MANptspp ... bigg.reaction:R_MANpts ... bigg.reaction:R_MANptspp ... biggR:MANpts ... biggR:MANptspp ... biggR:R_MANpts ... biggR:R_MANptspp ... deprecated:MNXR101401 ... deprecated:MNXR145539 ... seed.reaction:rxn05610 ... seed.reaction:rxn08885 ... seedR:rxn05610 ... seedR:rxn08885	1 MNXM1105842@MNXD1 + 1 MNXM73@MNXD2 = 1 MNXM1105857@MNXD2 + 1 MNXM23@MNXD2
MBDGBG				
MCITD	MNXR145545	rheaR:57496	bigg.reaction:MCITD ... bigg.reaction:R_MCITD ... biggR:MCITD ... biggR:R_MCITD ... deprecated:MNXR101413 ... rhea:57496 ... rhea:57497 ... rhea:57498 ... rhea:57499 ... rheaR:57496 ... rheaR:57497 ... rheaR:57498 ... rheaR:57499	1 MNXM1792@MNXD1 + 1 WATER@MNXD1 = 1 MNXM741276@MNXD1
MCITL2	MNXR145548	rheaR:16809	bigg.reaction:MCITL2 ... bigg.reaction:MCITL2m ... bigg.reaction:R_MCITL2 ... bigg.reaction:R_MCITL2m ... biggR:MCITL2 ... biggR:MCITL2m ... biggR:R_MCITL2 ... biggR:R_MCITL2m ... deprecated:MNXR101415 ... deprecated:MNXR189716 ... deprecated:MNXR189717 ... deprecated:MNXR189718 ... kegg.reaction:R00409 ... keggR:R00409 ... metacyc.reaction:METHYLISOCITRATE-LYASE-RXN ... metacycR:METHYLISOCITRATE-LYASE-RXN ... rhea:16809 ... rhea:16810 ... rhea:16811 ... rhea:16812 ... rhea:57504 ... rhea:57505 ... rhea:57506 ... rhea:57507 ... rheaR:16809 ... rheaR:16810 ... rheaR:16811 ... rheaR:16812 ... rheaR:57504 ... rheaR:57505 ... rheaR:57506 ... rheaR:57507 ... sabiork.reaction:866 ... sabiorkR:866 ... seed.reaction:rxn00289 ... seed.reaction:rxn30406 ... seed.reaction:rxn31857 ... seed.reaction:rxn31866 ... seedR:rxn00289 ... seedR:rxn30406 ... seedR:rxn31857 ... seedR:rxn31866	1 MNXM1104204@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM25@MNXD1
MCITS	MNXR189719	rheaR:57492	bigg.reaction:MCITS ... bigg.reaction:MCITSm ... bigg.reaction:R_MCITS ... bigg.reaction:R_MCITSm ... biggR:MCITS ... biggR:MCITSm ... biggR:R_MCITS ... biggR:R_MCITSm ... deprecated:MNXR145552 ... deprecated:MNXR189720 ... rhea:57492 ... rhea:57493 ... rhea:57494 ... rhea:57495 ... rheaR:57492 ... rheaR:57493 ... rheaR:57494 ... rheaR:57495	1 MNXM1106156@MNXD1 + 1 MNXM46@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM727276@MNXD1 + 1 MNXM741276@MNXD1
MCOATA	MNXR145554	biggR:MCOATA	bigg.reaction:MCOATA ... bigg.reaction:MCOATA_1 ... bigg.reaction:MCOATAm ... bigg.reaction:R_MCOATA ... bigg.reaction:R_MCOATA_1 ... bigg.reaction:R_MCOATAm ... biggR:MCOATA ... biggR:MCOATA_1 ... biggR:MCOATAm ... biggR:R_MCOATA ... biggR:R_MCOATA_1 ... biggR:R_MCOATAm ... deprecated:MNXR101421	1 MNXM1106093@MNXD1 + 1 MNXM740692@MNXD1 = 1 MNXM727276@MNXD1 + 1 MNXM731937@MNXD1
ME1	MNXR101446	rheaR:12653	bigg.reaction:ME1 ... bigg.reaction:ME1m ... bigg.reaction:R_ME1 ... bigg.reaction:R_ME1m ... biggR:ME1 ... biggR:ME1m ... biggR:R_ME1 ... biggR:R_ME1m ... deprecated:MNXR3470 ... kegg.reaction:R00214 ... keggR:R00214 ... metacyc.reaction:1.1.1.39-RXN ... metacyc.reaction:RXN-19748 ... metacycR:1.1.1.39-RXN ... metacycR:RXN-19748 ... rhea:12653 ... rhea:12654 ... rhea:12655 ... rhea:12656 ... rheaR:12653 ... rheaR:12654 ... rheaR:12655 ... rheaR:12656 ... sabiork.reaction:141 ... sabiorkR:141 ... seed.reaction:rxn00159 ... seed.reaction:rxn27459 ... seed.reaction:rxn31389 ... seed.reaction:rxn37872 ... seedR:rxn00159 ... seedR:rxn27459 ... seedR:rxn31389 ... seedR:rxn37872	1 MNXM10@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM1107192@MNXD1 + 1 MNXM8@MNXD1
MECDPDH2	MNXR101448	seedR:rxn05293	bigg.reaction:MECDPDH2 ... bigg.reaction:R_MECDPDH2 ... biggR:MECDPDH2 ... biggR:R_MECDPDH2 ... deprecated:MNXR55700 ... seed.reaction:rxn05293 ... seedR:rxn05293	1 MNXM10@MNXD1 + 1 MNXM1168@MNXD1 = 1 MNXM606@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1
MECDPS	MNXR188381	rheaR:23864	bigg.reaction:MCS ... bigg.reaction:MECDPS ... bigg.reaction:R_MCS ... bigg.reaction:R_MECDPS ... biggR:MCS ... biggR:MECDPS ... biggR:R_MCS ... biggR:R_MECDPS ... deprecated:MNXR101424 ... deprecated:MNXR188382 ... kegg.reaction:R05637 ... keggR:R05637 ... metacyc.reaction:RXN0-302 ... metacycR:RXN0-302 ... rhea:23864 ... rhea:23865 ... rhea:23866 ... rhea:23867 ... rheaR:23864 ... rheaR:23865 ... rheaR:23866 ... rheaR:23867 ... sabiork.reaction:5235 ... sabiorkR:5235 ... seed.reaction:rxn03910 ... seed.reaction:rxn28646 ... seedR:rxn03910 ... seedR:rxn28646	1 MNXM1103302@MNXD1 + 1 MNXM1168@MNXD1 = 1 MNXM1641@MNXD1
